Title	URL	Sprint	Estimated	Real	Linked pull requests	Priority
Create and improve UI for new screen [name of the user]	https://github.com/amosproj/amos2024ws04-personalized-play/issues/79	Sprint-6	⏰ Est. 3	🕒 RL. 2		
Use Gemini API to identify the items on the picture taken	https://github.com/amosproj/amos2024ws04-personalized-play/issues/81	Sprint-6	⏰ Est. 8	🕒 RL. 8		1 (high priority)
Improve UI for [age of kids] question	https://github.com/amosproj/amos2024ws04-personalized-play/issues/55	Sprint-5	⏰ Est. 2	🕒 RL. 5		
Set the global font of the app to Inter	https://github.com/amosproj/amos2024ws04-personalized-play/issues/70	Sprint-5	⏰ Est. 5	🕒 RL. 2		
Create project documentation	https://github.com/amosproj/amos2024ws04-personalized-play/issues/62	Sprint-5	⏰ Est. 3	🕒 RL. 3		
[Onboarding Flow] Find Lottie animations/pictures	https://github.com/amosproj/amos2024ws04-personalized-play/issues/34	Sprint-4	⏰ Est. 3	🕒 RL. 5		
Design team T-shirt and upload in GitHub	https://github.com/amosproj/amos2024ws04-personalized-play/issues/68	Sprint-1	⏰ Est. 2	🕒 RL. 1		
Initialize Software Bills of Materials (SBoM)	https://github.com/amosproj/amos2024ws04-personalized-play/issues/8	Sprint-1	⏰ Est. 2	🕒 RL. 1		
Design team logo and upload in GitHub	https://github.com/amosproj/amos2024ws04-personalized-play/issues/67	Sprint-1	⏰ Est. 2	🕒 RL. 2		
Host first meeting with MUMBI (industry partner)	https://github.com/amosproj/amos2024ws04-personalized-play/issues/66	Sprint-0	⏰ Est. 1	🕒 RL. 1		
Improve and test UI for info modal to display additional information	https://github.com/amosproj/amos2024ws04-personalized-play/issues/60	Sprint-5	⏰ Est. 2	🕒 RL. 2		
CI: Add CI/CD Workflows for `Release Drafter` and `Checkout Instructions`	https://github.com/amosproj/amos2024ws04-personalized-play/pull/11	Sprint-1				
[Software Architecture] Create a textual explanation of diagrams and choices	https://github.com/amosproj/amos2024ws04-personalized-play/issues/7	Sprint-1	⏰ Est. 2	🕒 RL. 2		
[Onboarding flow] Get contextual questions from user - {energy level}	https://github.com/amosproj/amos2024ws04-personalized-play/issues/20	Sprint-4	⏰ Est. 3	🕒 RL. 3		
[Software Architecture] Create the diagram of runtime components	https://github.com/amosproj/amos2024ws04-personalized-play/issues/4	Sprint-1	⏰ Est. 3	🕒 RL. 3		
Setup Development Environment	https://github.com/amosproj/amos2024ws04-personalized-play/issues/9	Sprint-1	⏰ Est. 13	🕒 RL. 8	https://github.com/amosproj/amos2024ws04-personalized-play/pull/11, https://github.com/amosproj/amos2024ws04-personalized-play/pull/13	
[Onboarding flow] Create welcome screen after first-time user authentication	https://github.com/amosproj/amos2024ws04-personalized-play/issues/22	Sprint-4	⏰ Est. 3	🕒 RL. 2		
Setup User Login and Signup	https://github.com/amosproj/amos2024ws04-personalized-play/issues/17	Sprint-4	⏰ Est. 8	🕒 RL. 8		
Create a video recording for the whole build process	https://github.com/amosproj/amos2024ws04-personalized-play/issues/43	Sprint-5	⏰ Est. 5	🕒 RL. 5		
[Onboarding flow] Get playtime related questions  - {type of play}	https://github.com/amosproj/amos2024ws04-personalized-play/issues/23	Sprint-4	⏰ Est. 5	🕒 RL. 5		
[Onboarding flow] Get contextual questions from user - {age of kids}	https://github.com/amosproj/amos2024ws04-personalized-play/issues/19	Sprint-4	⏰ Est. 3	🕒 RL. 5		
[Onboarding flow] Get contextual questions from user - {no. of kids}	https://github.com/amosproj/amos2024ws04-personalized-play/issues/18	Sprint-4	⏰ Est. 3	🕒 RL. 3		
[Onboarding flow] Create loading screen before playtime activity suggestion	https://github.com/amosproj/amos2024ws04-personalized-play/issues/29	Sprint-5	⏰ Est. 3	🕒 RL. 2		
[Onboarding flow] Get playtime questions from user - {duration}	https://github.com/amosproj/amos2024ws04-personalized-play/issues/21	Sprint-5	⏰ Est. 5	🕒 RL. 5		
[Onboarding flow] Update the interactive labels (text)	https://github.com/amosproj/amos2024ws04-personalized-play/issues/35	Sprint-4	⏰ Est. 2	🕒 RL. 2		
[Software Architecture] Create the summary of underlying tech stack	https://github.com/amosproj/amos2024ws04-personalized-play/issues/6	Sprint-1	⏰ Est. 1	🕒 RL. 1		
[Software Architecture] Create the diagram of code components	https://github.com/amosproj/amos2024ws04-personalized-play/issues/5	Sprint-1	⏰ Est. 2	🕒 RL. 3		
[Onboarding flow] Create UI for [skills] question of the onboarding flow	https://github.com/amosproj/amos2024ws04-personalized-play/issues/28	Sprint-6	⏰ Est. 3	🕒 RL. 3		2 (medium priority)
Add option for the user to add the age for multiple kids	https://github.com/amosproj/amos2024ws04-personalized-play/issues/56	Sprint-6	⏰ Est. 5	🕒 RL. 5		
feat: Display items identified when taking a picture	https://github.com/amosproj/amos2024ws04-personalized-play/pull/112					
feat(screen):Add functionality to save favorite activity	https://github.com/amosproj/amos2024ws04-personalized-play/pull/126					
FEAT: Add Favorite Activities Screen	https://github.com/amosproj/amos2024ws04-personalized-play/pull/128					
